Test ID ,First Layer Neurons ,Second Layer Neurons ,Learning Rate ,Activation Function ,Accuracy           ,Precision          ,Recall             ,F1-Score
     58 ,                 10 ,                   9 ,        0.03  ,relu                ,87.7102760883474   ,90.9078842735493   ,89.55320747495715  ,88.81830153219255
     59 ,                 10 ,                   9 ,        0.03  ,tanh                ,85.59497799514698  ,89.31033337678747  ,87.53635744784305  ,86.6454395723203
     60 ,                 10 ,                   9 ,        0.003 ,logistic            ,88.74643547275099  ,91.15480272926038  ,90.11345752255559  ,89.5530245446434
     61 ,                 10 ,                   9 ,        0.003 ,relu                ,88.04854338554294  ,90.99819064367239  ,89.76431035979911  ,89.05544309332993
     62 ,                 10 ,                   9 ,        0.003 ,tanh                ,88.09256927563627  ,90.86827570785275  ,89.73090605507028  ,89.09634605497075
     63 ,                 10 ,                  10 ,        0.3   ,logistic            ,85.81458416276362  ,89.56250663137935  ,88.10389436807219  ,87.30012864624263
     64 ,                 10 ,                  10 ,        0.3   ,relu                ,56.9117572485464   ,45.98508508667701  ,51.47424714529841  ,44.91675570503625
     65 ,                 10 ,                  10 ,        0.3   ,tanh                ,83.42659096867749  ,84.40508954202977  ,82.74548886639423  ,81.72480758481588
     66 ,                 10 ,                  10 ,        0.03  ,logistic            ,87.83565358027967  ,90.37295103525918  ,89.2690611025182   ,88.70250820261312
     67 ,                 10 ,                  10 ,        0.03  ,relu                ,85.88109503140237  ,89.45022205539408  ,88.02416394603874  ,87.18713316847877
     68 ,                 10 ,                  10 ,        0.03  ,tanh                ,87.29893261087932  ,90.0179448948052   ,89.12269703432001  ,88.25286223676962
     69 ,                 10 ,                  10 ,        0.003 ,logistic            ,88.76108199788314  ,91.41457283905649  ,90.37133366057581  ,89.68104621027078
     70 ,                 10 ,                  10 ,        0.003 ,relu                ,89.42218784020127  ,91.76104758148816  ,91.00963906587924  ,90.4294904374814
     71 ,                 10 ,                  10 ,        0.003 ,tanh                ,88.54790627518638  ,91.27825042027006  ,90.28182569588537  ,89.62605803809795
     72 ,                 10 ,                  11 ,        0.3   ,logistic            ,86.04239562125542  ,89.61571587699565  ,87.81541431943664  ,87.03102008525228
     73 ,                 10 ,                  11 ,        0.3   ,relu                ,58.26260922855162  ,44.8900245558863   ,51.45814528381835  ,45.722517474630806
     74 ,                 10 ,                  11 ,        0.3   ,tanh                ,80.81069460673407  ,82.30613814137759  ,80.49248642758148  ,78.36330063752499
     75 ,                 10 ,                  11 ,        0.03  ,logistic            ,87.51216767493023  ,90.35194104475984  ,89.15575077090108  ,88.30392087707108
     76 ,                 10 ,                  11 ,        0.03  ,relu                ,88.28343804385001  ,90.706314042699    ,89.74300220144784  ,89.15665487879772
     77 ,                 10 ,                  11 ,        0.03  ,tanh                ,86.9022302638748   ,90.0007062011006   ,88.99420308788419  ,88.08810421975232
     78 ,                 10 ,                  11 ,        0.003 ,logistic            ,88.57014309897814  ,91.28508882943201  ,90.30138956926996  ,89.55569357252288
     79 ,                 10 ,                  11 ,        0.003 ,relu                ,88.65817869515915  ,91.53111966934677  ,90.44480216427606  ,89.71900223980201
     80 ,                 10 ,                  11 ,        0.003 ,tanh                ,88.6948570466779   ,91.34614659197669  ,90.29328560219756  ,89.75100301112633
     81 ,                 10 ,                  12 ,        0.3   ,logistic            ,83.73548429558036  ,88.00036348580234  ,86.41810711073042  ,85.10859748641681
     82 ,                 10 ,                  12 ,        0.3   ,relu                ,61.03196772693483  ,48.21321070106911  ,53.694154127415864 ,46.81899753768526
     83 ,                 10 ,                  12 ,        0.3   ,tanh                ,82.22892060234712  ,83.74989477664634  ,81.58341014670312  ,80.83462457880366
     84 ,                 10 ,                  12 ,        0.03  ,logistic            ,87.36527085012422  ,90.56179583104938  ,89.22576168621525  ,88.47877098386346
     85 ,                 10 ,                  12 ,        0.03  ,relu                ,86.85088920321824  ,90.31754676072126  ,88.75010415990928  ,88.02888357745914
     86 ,                 10 ,                  12 ,        0.03  ,tanh                ,86.93873059133118  ,90.09115413615551  ,88.76758062264344  ,87.98025770876983
     87 ,                 10 ,                  12 ,        0.003 ,logistic            ,88.94491611829862  ,91.62798432688018  ,90.34312615660518  ,89.90785394971033
     88 ,                 10 ,                  12 ,        0.003 ,relu                ,87.98939623948444  ,91.16355644379269  ,89.96022000318116  ,89.22130029661301
     89 ,                 10 ,                  12 ,        0.003 ,tanh                ,88.3861633225116   ,91.29126071101355  ,90.24383734795298  ,89.54731039502846
     90 ,                 10 ,                  13 ,        0.3   ,logistic            ,84.97702950128448  ,88.82092417268785  ,87.41990239252608  ,86.3554821863852
     91 ,                 10 ,                  13 ,        0.3   ,relu                ,52.46546602923263  ,35.829784458632425 ,41.246950116570886 ,34.03962465472048
     92 ,                 10 ,                  13 ,        0.3   ,tanh                ,80.55463666367804  ,81.45100991638975  ,79.69283154169815  ,78.10288734531427
     93 ,                 10 ,                  13 ,        0.03  ,logistic            ,87.8646391344362   ,90.88547618115214  ,89.38515270031957  ,88.76724939997862
     94 ,                 10 ,                  13 ,        0.03  ,relu                ,87.60739436429766  ,90.76023024031755  ,89.94557023737586  ,89.08768758340516
     95 ,                 10 ,                  13 ,        0.03  ,tanh                ,86.66714139749968  ,89.93506332551634  ,88.53571422120518  ,87.7865399246453
     96 ,                 10 ,                  13 ,        0.003 ,logistic            ,88.65072326321342  ,91.32432543858577  ,90.23429991077263  ,89.64237177371486
     97 ,                 10 ,                  13 ,        0.003 ,relu                ,88.63605515940705  ,91.63639051261114  ,90.32442873408132  ,89.8076660804375
     98 ,                 10 ,                  13 ,        0.003 ,tanh                ,88.75369130196012  ,91.20664170873624  ,90.20531171189526  ,89.60653884419251
     99 ,                 10 ,                  14 ,        0.3   ,logistic            ,86.1966130112932   ,89.47128178803779  ,88.07354411359688  ,87.27959502211868
    100 ,                 10 ,                  14 ,        0.3   ,relu                ,68.19581244247935  ,61.24121172813697  ,63.75291227015566  ,57.854070398842936
    101 ,                 10 ,                  14 ,        0.3   ,tanh                ,81.5971887303216   ,82.8239542411663   ,82.51877089644691  ,80.22375156568499
    102 ,                 10 ,                  14 ,        0.03  ,logistic            ,86.26331269333143  ,90.09832525327892  ,88.40587835587677  ,87.55559609297944
    103 ,                 10 ,                  14 ,        0.03  ,relu                ,87.06408650458923  ,89.82646976174473  ,88.57638777714702  ,88.01841374755277
    104 ,                 10 ,                  14 ,        0.03  ,tanh                ,86.46904916808815  ,89.95056231794291  ,88.44923755285036  ,87.90388869028129
    105 ,                 10 ,                  14 ,        0.003 ,logistic            ,88.72438206769016  ,91.31948381846442  ,90.22979618546596  ,89.63991520152337
    106 ,                 10 ,                  14 ,        0.003 ,relu                ,88.56267148302676  ,91.49122725572518  ,90.27644872978236  ,89.67478554116191
    107 ,                 10 ,                  14 ,        0.003 ,tanh                ,88.65075023655622  ,91.12310189866415  ,90.29468835291831  ,89.68083414440645
    108 ,                 10 ,                  15 ,        0.3   ,logistic            ,84.87403448919501  ,88.80598368990181  ,87.13652022432719  ,86.307022625525
    109 ,                 10 ,                  15 ,        0.3   ,relu                ,57.256600646712876 ,41.2549233178003   ,48.86486418932239  ,40.77497920458143
