name,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Experimento_logistic_8_4_constant_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.03,1e-05,0.9150682263732399,0.9309066516169324,0.9254401751158987,0.926823227735307
Experimento_logistic_8_4_constant_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.03,1e-05,0.9136725716708692,0.9284982459949533,0.92499190557076,0.925799066076325
Experimento_logistic_8_4_constant_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.03,1e-05,0.9138195224423609,0.9294771635883337,0.9262478691323279,0.9269077508794874
Experimento_logistic_8_4_constant_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.3,1e-05,0.8882553210313311,0.909231052799659,0.8977503196394867,0.9002150581189234
Experimento_logistic_8_4_constant_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.3,1e-05,0.8683562768587061,0.8822522297189103,0.8729926505223731,0.8725833759185007
Experimento_logistic_8_4_constant_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.3,1e-05,0.8775395671965309,0.8837370909630428,0.8861134773201844,0.882764700421762
Experimento_logistic_8_4_constant_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.3,1e-05,0.8711494743974425,0.8801106201656378,0.881147774939787,0.8784934855335568
Experimento_logistic_8_4_constant_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.3,1e-05,0.8742330129979143,0.8866627267892504,0.8817807059434427,0.8812616424658449
Experimento_logistic_8_4_adaptive_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.003,1e-05,0.9169045715500286,0.9306991327124511,0.9259913051900319,0.9279657791344199
Experimento_logistic_8_4_adaptive_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.003,1e-05,0.9168326606181643,0.9302895193155398,0.9265295796927873,0.9281562913271587
Experimento_logistic_8_4_adaptive_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.003,1e-05,0.9153623437029653,0.928179088862368,0.92570221364917,0.9266318565634675
Experimento_logistic_8_4_adaptive_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.003,1e-05,0.9187415640870441,0.9320271670018038,0.9291825786408141,0.9302509667768888
Experimento_logistic_8_4_adaptive_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.003,1e-05,0.9188889464320201,0.9325770712022774,0.9285910600231182,0.9301698712419586
