name,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8643026150116363,0.8793395991344817,0.8729320977401743,0.8702891259121539
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8760654200666564,0.8940252038191119,0.8877681085275361,0.8848205177978509
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8673216333761671,0.8596740648230853,0.868915094172058,0.8590168750818286
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8547645712695058,0.8594558590938691,0.8615929950875516,0.8550697745685882
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8666604088511406,0.8656504539851108,0.8654745909464353,0.8584347262005277
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8531463325424749,0.8668249224534653,0.8639237270724133,0.8570991165566939
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8711406810876946,0.8772606161440502,0.8657615540898181,0.865773588455405
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8734159364982774,0.8912997779519836,0.8810052444544176,0.8794885730096775
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8714303747892034,0.8946688412059167,0.8750878201408987,0.8801019738457656
Experimento6,True,5,knn,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8636550929447446,0.8756190196982144,0.8719854317823316,0.8706018351409057
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9205063759587674,0.9352364109491514,0.9301895786185174,0.9324234774111086
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.922196094044178,0.9371582260052836,0.9316284210016326,0.934088211081411
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.920139322710152,0.9348462039208252,0.9294672707240315,0.9318645342080748
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9188904029925304,0.93396648520445,0.9277031540450809,0.9304359398611879
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9221962558842348,0.9364738204313887,0.93198050120498,0.9339469055930877
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9225632551861647,0.9374693131694934,0.9320439622329971,0.9343802908681965
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.922048927485944,0.9368589923296634,0.9311339099781166,0.9336384933723256
