Experiment,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9299085819466338,0.9415846645908884,0.9385368865452847,0.939859619524885
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9284406926322853,0.9407391663139691,0.9384910998091824,0.9394344673036708
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9290288193983649,0.9400713666519807,0.9377118691048837,0.9386856163926526
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9279989771708415,0.9391467282525257,0.9377227421048449,0.9382661501515036
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9302763904488472,0.9418163874620156,0.9382607328272361,0.9397594519147845
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.927117812008748,0.9391860042350968,0.9360958582833359,0.9373965953126824
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9301302488776393,0.9422095497083431,0.939901520788774,0.940886935734382
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9295420142181884,0.9406414050687241,0.9376935062995108,0.9389989194920231
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.930350621088191,0.9419021793745526,0.9395818208847679,0.9405153546733611
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9295428773651576,0.9409169677209872,0.9384383130316802,0.9395399755607932
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9291024566241676,0.9413363777663839,0.9376181417645417,0.9392567193221245
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9296890189363657,0.9416309698704666,0.938728253061529,0.9399777308520122
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9288808975865331,0.9409220589065106,0.9385366749475029,0.9395744190935327
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9300561261316667,0.9411035472593052,0.9388706647348093,0.9398435802324301
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.929395548966867,0.9412633252705309,0.9386372130629708,0.9397667198689431
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.930864894841726,0.94208986567431,0.940402519412111,0.9410347116217231
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9306441989510607,0.9419085681329913,0.9396601979017556,0.9405365760324319
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9315254720065254,0.9435866682382631,0.939922694126375,0.9415675357324952
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9324812993814474,0.9444648224819907,0.9413406387947459,0.9426786715952093
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9309381544407295,0.9423652616368223,0.9398027877134247,0.9408509979646021
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.931526281206809,0.9434899694830197,0.940497762558316,0.941888163673951
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9327023728989114,0.9445595163245221,0.9418495552451269,0.9430366741991076
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9312322178237691,0.9430836036118825,0.9406886474626976,0.9417381706104024
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9300562879717233,0.9417208882271797,0.9391839566589532,0.9402176656149601
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9309381544407295,0.9430209780273181,0.9395402545782343,0.9410926736339473
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9317465994706753,0.9430417035812569,0.9401944398755292,0.9413863709692851
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9297628180022247,0.9414937990060827,0.9388269669758156,0.9399669247600336
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9318938739222802,0.9443135389869981,0.9411968070690528,0.9425189415213204
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9314530755544912,0.9435575466290074,0.9408354336069233,0.9420488201454347
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9335826209673505,0.9454881076782964,0.9423347836775541,0.9437330054271568
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9321136527192906,0.9435567917392811,0.9409765093910212,0.9420702456015937
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9315254180598398,0.9434905005082606,0.9401842382539118,0.9416467145248237
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9329953573482399,0.9452348786867386,0.9424986152264792,0.9436834535212288
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9303500276746497,0.9425822301615371,0.9398740670779595,0.9409896716060133
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9318924173617698,0.9440364202516177,0.9409219723659762,0.9422521552496669
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9312318401969701,0.943500436798043,0.9403146078662081,0.941706309900342
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9337295177921563,0.9451999563192878,0.9424946030187289,0.9437008736157587
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9304242043673078,0.9430728317967926,0.9392993836193713,0.9410117354298375
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9304232872736533,0.9427523328809624,0.9396403232424875,0.9409351460417084
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9316735556584138,0.9436704380912648,0.9407056257463593,0.9420011307342937
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9296889110429944,0.9414515804720317,0.9381352609756398,0.9396335518131094
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9313055313694582,0.9432032537531108,0.9406141335835441,0.9417586971218691
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.929909822720402,0.9420078481459097,0.9389842215170212,0.9403446510076515
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9315253641131542,0.9440752242687065,0.9416874417275638,0.942665661671613
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9313784672883483,0.9432858544774716,0.9406116746273339,0.9417303878101742
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9307185374837756,0.9428951299187979,0.9401135191749367,0.9413155922778801
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9313785751817193,0.9432568885400773,0.940315215755707,0.941622414538054
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9299098766670875,0.9422910679034407,0.9395973528710378,0.9407475125651196
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9316004039527815,0.943344669905876,0.9403348500237139,0.9416425007336757
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9309381544407292,0.9429361085240844,0.9401796560136232,0.9413080632311696
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9310853749456488,0.9435031292656818,0.9395226631491397,0.9413276664711615
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9329950876148121,0.9446261878674337,0.9418327938254665,0.9430100763351014
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9296149501370786,0.9416417930034016,0.9388566931660431,0.9400601740314405
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9316725306713882,0.9433120448449108,0.9406982274332153,0.9418026822683672
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9317461139505051,0.9441460496557836,0.9410230522933123,0.9423528250462997
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9296888570963089,0.9414429396330475,0.9384591512331346,0.9397577177733428
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9324807599145915,0.9452246961657667,0.9416031943626413,0.9431378519823316
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9306438752709474,0.9419434075287423,0.939519757114463,0.9406118224716231
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9312319480903414,0.9429485175654888,0.9408134894086052,0.9417402598982536
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9305715327655983,0.9425792386455865,0.9395567052864868,0.940878784903016
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9314519966207797,0.9435953112068528,0.9406099248603473,0.9419370633965457
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9311580411311111,0.9427984448340366,0.940663511596458,0.9415576842139289
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9299096069336598,0.941926638952431,0.9385251401731894,0.9400495894353578
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9292487060887467,0.9421473354944162,0.9388420938933975,0.9402537213040475
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9293951173933825,0.9419081242662368,0.9386899440824384,0.9400850330203973
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9313060708363139,0.9432229328900388,0.9403297424258936,0.9415282549695603
Ap-10-10-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,10,1500,adaptive,0.003,1e-05,0.9304231793802822,0.9423630658164702,0.9399449175012803,0.9409687998965331
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.929909175360175,0.9421142581869567,0.9401576370744203,0.9410043535178183
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9287336770816138,0.9406880338708072,0.9381451001261786,0.9392247064749413
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9315260114733812,0.9438290983520854,0.9402457676330348,0.9418757349919261
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9292481126752052,0.9424456245205672,0.9391151454159864,0.9405045963762471
