Test ID, First Layer Neurons, Second Layer Neurons, Learning Rate, Activation Function, Accuracy, Precision, Recall, F1-Score
697,10,7,0.03,logistic,87.46797455011162,90.3203289147747,89.2303647961358,88.39873798786886
698,10,7,0.03,logistic,87.60012774575141,90.49220008753997,89.39404447529334,88.78356935023612
699,10,7,0.03,logistic,86.7111349195817,90.48619751366947,88.78458744130162,88.25490212686998
700,10,7,0.03,relu,87.53399450391169,90.6147512400979,89.5323493657832,88.61764820937532
701,10,7,0.03,relu,87.8870647716275,90.48189296923572,89.35581854977872,88.67459948772168
702,10,7,0.03,relu,87.52657683464585,90.59267139013055,89.46202447891753,88.74984004323885
703,10,7,0.03,relu,88.42318693281804,91.15895974717783,89.70848275356622,89.1716726190039
704,10,7,0.03,relu,88.64331098861615,91.45004774122634,90.34808812178025,89.8465199832947
705,10,7,0.03,relu,87.37981487655378,90.46321887437952,88.92532531517162,88.2415500266266
706,10,7,0.03,relu,87.26948311522686,90.18346934188514,89.14598090599337,88.25435722392685
707,10,7,0.03,relu,88.12171127518097,91.31590279176429,89.91580979322278,89.18814632936669
708,10,7,0.03,relu,88.04135768702508,90.52627802548336,89.5169196369744,88.86515378689562
709,10,7,0.03,relu,87.84974984921902,91.18411352198201,89.62984685659754,89.08426382386104
710,10,7,0.03,relu,88.15863778145335,90.83931637764951,89.77930769464407,89.10347326460132
711,10,7,0.03,relu,87.27708420322364,90.30012748980309,89.25007289939569,88.4419152342892
712,10,7,0.03,relu,87.73973097866839,90.39946016645676,89.20196954652587,88.46958870896803
713,10,7,0.03,relu,88.37946314416388,90.51751832294373,89.80440166388837,89.06256094623517
714,10,7,0.03,relu,87.08573530950832,90.36102718801135,89.22513406872035,88.27307196128207
715,10,7,0.03,relu,86.93902190343327,89.90719629216896,88.8174573024141,87.91553537237293
716,10,7,0.03,relu,86.71145320502654,89.95075382849598,88.8111617772528,87.90962964325608
717,10,7,0.03,relu,88.65794132974264,91.44438780866902,90.32459920090992,89.81789447273258
718,10,7,0.03,relu,87.98197317555008,91.29007233988574,89.87355781791425,89.2557943784797
719,10,7,0.03,relu,87.85748580392969,90.92141544162311,89.68306471902503,89.04604957474291
720,10,7,0.03,relu,87.08621004034131,89.78759297060472,88.67636040515329,88.19824869786224
721,10,7,0.03,relu,86.85819358444438,90.29755044600269,88.67142591137191,87.99312351810465
722,10,7,0.03,relu,87.9310798723837,90.47616657165689,89.28613573868711,88.76213205920077
723,10,7,0.03,relu,87.83513569209822,91.215297323746,89.48882647634161,88.93032384964408
724,10,7,0.03,relu,87.01951035830311,90.08664497799744,88.73990682200595,88.1468537198953
725,10,7,0.03,tanh,86.85078130984711,89.73079550462933,88.68906593031996,88.0427519945242
726,10,7,0.03,tanh,87.16672546855393,90.48584768148608,89.05312949732537,88.23275365881351
727,10,7,0.03,tanh,87.83524358546934,90.78921358695659,89.69411373140099,89.12128561918307
728,10,7,0.03,tanh,85.96958377974214,89.26179037217395,87.07769049477825,86.43665214973201
729,10,7,0.03,tanh,86.18969165153463,89.83621405451977,88.2403723272826,87.38960972398296
730,10,7,0.03,tanh,87.79142808744973,90.77165154745363,89.24049500952167,88.8619478441943
731,10,7,0.03,tanh,88.08514081703335,90.68147609592778,89.51361569477058,88.98751708071157
732,10,7,0.03,tanh,87.49714352299911,90.06611577858011,89.3733334367855,88.60710451962761
733,10,7,0.03,tanh,86.99032520140996,90.29651344153443,88.94802706865212,88.23932621568409
734,10,7,0.03,tanh,86.99037914809551,90.19223597971838,88.8700446316556,88.35905702323836
735,10,7,0.03,tanh,86.79226534000979,89.71794640866791,88.29068529970108,87.45862314172066
736,10,7,0.03,tanh,87.38739438587632,90.34912570959733,88.944579211862,88.40147193011664
737,10,7,0.03,tanh,85.48430636970096,89.11899293599825,87.57305963693204,86.61738159276628
738,10,7,0.03,tanh,85.41097124533765,88.7651869922221,87.6160857391086,86.68659298826064
739,10,7,0.03,tanh,85.92521263086115,89.71029717890427,88.17534106086262,87.29048581556667
740,10,7,0.03,tanh,87.43824992636277,90.72696468338835,89.31360922798304,88.84409371074172
741,10,7,0.03,tanh,86.29997486084451,89.66059495310404,88.16624097154332,87.53215795279976
742,10,7,0.03,tanh,86.07192064226766,88.90149470459413,87.8924954333787,86.92549916953475
743,10,7,0.03,tanh,87.11561098397675,90.33185341837267,88.45961340606523,87.96673510611255
744,10,7,0.03,tanh,87.15208433809035,90.01087837678543,88.82611499723578,88.13833742451118
745,10,7,0.03,tanh,86.52740329786877,89.26580084020488,88.28723111620846,87.27830857556728
746,10,7,0.03,tanh,87.02728947036222,90.17353625881175,88.74370302122936,87.99028925658628
747,10,7,0.03,tanh,87.72487406146254,90.40658526472313,89.34702724371853,88.80091688080907
748,10,7,0.03,tanh,86.76987746549841,90.44827010818315,88.7167474932238,88.19346613666944
749,10,7,0.03,tanh,87.27690078449271,90.45193280405152,89.09003588845378,88.33607876512532
750,10,7,0.003,logistic,88.17357561868755,90.73727873618161,89.76311322490747,88.99025863731336
751,10,7,0.003,logistic,88.34947957632431,91.01584860842328,89.94515873326694,89.28125229513053
752,10,7,0.003,logistic,88.11453097133166,90.7673402035076,89.78892394732314,89.02111981225256
753,10,7,0.003,logistic,87.62245627890867,90.34160674516208,89.19650145186499,88.44037248739001
754,10,7,0.003,logistic,88.04116347895702,90.58598310559869,89.68812833846155,88.78941182189048
755,10,7,0.003,logistic,87.91612045647528,90.6240298187739,89.70876746108289,88.95217463693767
756,10,7,0.003,logistic,87.90155485137149,90.54610631775034,89.49600493848078,88.79132383034457
757,10,7,0.003,logistic,87.62967974010643,90.66725614852645,89.48020132189582,88.75284660795275
758,10,7,0.003,logistic,88.1806048718173,90.95509674362553,89.79964992570186,89.21055189691833
